day,reason,added_at
2019-02-03,anomaly review: short sleep / low efficiency / bedtime jump / implausible HRV,2026-09-01T01:38:04+00:00
2019-03-18,anomaly review: short sleep / low efficiency / bedtime jump / implausible HRV,2026-09-01T01:38:05+00:00
2019-05-09,anomaly review: short sleep / low efficiency / bedtime jump / implausible HRV,2026-09-01T01:38:05+00:00
2019-06-10,anomaly review: short sleep / low efficiency / bedtime jump / implausible HRV,2026-09-01T01:38:05+00:00
2019-07-20,anomaly review: short sleep / low efficiency / bedtime jump / implausible HRV,2026-09-01T01:38:05+00:00
2019-07-30,anomaly review: short sleep / low efficiency / bedtime jump / implausible HRV,2026-09-01T01:38:05+00:00
2019-08-06,anomaly review: short sleep / low efficiency / bedtime jump / implausible HRV,2026-09-01T01:38:05+00:00
2020-02-20,anomaly review: short sleep / low efficiency / bedtime jump / implausible HRV,2026-09-01T01:38:05+00:00
2020-04-29,anomaly review: short sleep / low efficiency / bedtime jump / implausible HRV,2026-09-01T01:38:05+00:00
2020-06-29,anomaly review: short sleep / low efficiency / bedtime jump / implausible HRV,2026-09-01T01:38:05+00:00
2020-11-12,anomaly review: short sleep / low efficiency / bedtime jump / implausible HRV,2026-09-01T01:38:04+00:00
2021-08-13,anomaly review: short sleep / low efficiency / bedtime jump / implausible HRV,2026-09-01T01:38:05+00:00
2021-09-18,anomaly review: short sleep / low efficiency / bedtime jump / implausible HRV,2026-09-01T01:38:05+00:00
2021-11-05,anomaly review: short sleep / low efficiency / bedtime jump / implausible HRV,2026-09-01T01:38:05+00:00
2021-11-07,anomaly review: short sleep / low efficiency / bedtime jump / implausible HRV,2026-09-01T01:38:05+00:00
2021-11-18,anomaly review: short sleep / low efficiency / bedtime jump / implausible HRV,2026-09-01T01:38:05+00:00
2022-01-04,anomaly review: short sleep / low efficiency / bedtime jump / implausible HRV,2026-09-01T01:38:05+00:00
2022-07-29,anomaly review: short sleep / low efficiency / bedtime jump / implausible HRV,2026-09-01T01:38:05+00:00
2022-09-23,anomaly review: short sleep / low efficiency / bedtime jump / implausible HRV,2026-09-01T01:38:04+00:00
2023-01-21,anomaly review: short sleep / low efficiency / bedtime jump / implausible HRV,2026-09-01T01:38:05+00:00
2023-01-25,anomaly review: short sleep / low efficiency / bedtime jump / implausible HRV,2026-09-01T01:38:05+00:00
2023-02-11,anomaly review: short sleep / low efficiency / bedtime jump / implausible HRV,2026-09-01T01:38:05+00:00
2023-09-15,anomaly review: short sleep / low efficiency / bedtime jump / implausible HRV,2026-09-01T01:38:05+00:00
2024-01-05,anomaly review: short sleep / low efficiency / bedtime jump / implausible HRV,2026-09-01T01:38:04+00:00
2024-03-08,anomaly review: short sleep / low efficiency / bedtime jump / implausible HRV,2026-09-01T01:38:05+00:00
2024-03-16,anomaly review: short sleep / low efficiency / bedtime jump / implausible HRV,2026-09-01T01:38:05+00:00
2024-03-28,anomaly review: short sleep / low efficiency / bedtime jump / implausible HRV,2026-09-01T01:38:05+00:00
2024-07-31,anomaly review: short sleep / low efficiency / bedtime jump / implausible HRV,2026-09-01T01:38:05+00:00
2024-10-26,anomaly review: short sleep / low efficiency / bedtime jump / implausible HRV,2026-09-01T01:38:05+00:00
2025-01-03,anomaly review: short sleep / low efficiency / bedtime jump / implausible HRV,2026-09-01T01:38:05+00:00
2025-03-07,anomaly review: short sleep / low efficiency / bedtime jump / implausible HRV,2026-09-01T01:38:05+00:00
2025-03-16,anomaly review: short sleep / low efficiency / bedtime jump / implausible HRV,2026-09-01T01:38:05+00:00
2025-04-21,anomaly review: short sleep / low efficiency / bedtime jump / implausible HRV,2026-09-01T01:38:05+00:00
2025-09-22,anomaly review: short sleep / low efficiency / bedtime jump / implausible HRV,2026-09-01T01:38:05+00:00
2025-10-06,anomaly review: short sleep / low efficiency / bedtime jump / implausible HRV,2026-09-01T01:38:05+00:00
2026-02-17,anomaly review: short sleep / low efficiency / bedtime jump / implausible HRV,2026-09-01T01:38:05+00:00
2026-02-19,anomaly review: short sleep / low efficiency / bedtime jump / implausible HRV,2026-09-01T01:38:05+00:00
2026-07-01,anomaly review: short sleep / low efficiency / bedtime jump / implausible HRV,2026-09-01T01:38:05+00:00
2026-08-04,anomaly review: short sleep / low efficiency / bedtime jump / implausible HRV,2026-09-01T01:38:05+00:00
