day,bedtime,score
2026-07-14,23.025277777777777,80
2026-07-15,24.32611111111111,71
2026-07-16,23.49277777777778,82
2026-07-17,24.224722222222223,78
2026-07-19,25.86555555555556,74
2026-07-20,24.84583333333333,76
2026-07-21,23.441388888888888,83
2026-08-04,24.073888888888888,51
2026-08-05,22.342222222222222,90
2026-08-06,22.308055555555555,84
2026-08-07,22.508333333333333,78
2026-08-08,23.50861111111111,88
2026-08-09,24.54222222222222,71
2026-08-10,23.074444444444445,79
2026-08-11,25.34888888888889,60
2026-08-12,22.890833333333333,80
2026-08-13,23.3275,87
2026-08-14,24.58277777777778,84
2026-08-15,24.878055555555555,69
2026-08-17,24.29277777777778,74
2026-08-18,23.091944444444444,80
2026-08-19,24.24222222222222,80
2026-08-21,24.35388888888889,64
2026-08-22,24.9675,74
